,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
16944,2018,11,AA,American Airlines Inc.,LAX,3381.0,10.0,29239.0,11316.0,2341.0, Los Angeles International,"Los Angeles, CA"
16964,2018,11,AA,American Airlines Inc.,ORD,5223.0,152.0,71021.0,14449.0,4941.0, Chicago O'Hare International,"Chicago, IL"
17509,2018,11,G4,Allegiant Air,DEN,10.0,0.0,272.0,137.0,0.0, Denver International,"Denver, CO"
17016,2018,11,AS,Alaska Airlines Inc.,DEN,115.0,0.0,861.0,206.0,288.0, Denver International,"Denver, CO"
17017,2018,11,AS,Alaska Airlines Inc.,DFW,118.0,2.0,505.0,330.0,0.0, Dallas/Fort Worth International,Dallas
17032,2018,11,AS,Alaska Airlines Inc.,LAX,1675.0,39.0,14173.0,2949.0,1328.0, Los Angeles International,"Los Angeles, CA"
17044,2018,11,AS,Alaska Airlines Inc.,ORD,270.0,6.0,3644.0,701.0,360.0, Chicago O'Hare International,"Chicago, IL"
17072,2018,11,B6,JetBlue Airways,ATL,268.0,0.0,5676.0,2158.0,404.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17002,2018,11,AS,Alaska Airlines Inc.,ATL,51.0,0.0,537.0,85.0,205.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17098,2018,11,B6,JetBlue Airways,LAX,505.0,0.0,6520.0,2915.0,312.0, Los Angeles International,"Los Angeles, CA"
17087,2018,11,B6,JetBlue Airways,DEN,89.0,0.0,1487.0,927.0,0.0, Denver International,"Denver, CO"
17414,2018,11,F9,Frontier Airlines Inc.,DFW,36.0,0.0,620.0,184.0,0.0, Dallas/Fort Worth International,Dallas
17413,2018,11,F9,Frontier Airlines Inc.,DEN,1856.0,14.0,32944.0,9046.0,214.0, Denver International,"Denver, CO"
17395,2018,11,F9,Frontier Airlines Inc.,ATL,254.0,1.0,4501.0,1445.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17367,2018,11,EV,ExpressJet Airlines Inc.,ORD,1199.0,63.0,40011.0,8232.0,531.0, Chicago O'Hare International,"Chicago, IL"
17316,2018,11,EV,ExpressJet Airlines Inc.,DFW,528.0,5.0,11634.0,6546.0,0.0, Dallas/Fort Worth International,Dallas
17435,2018,11,F9,Frontier Airlines Inc.,LAX,71.0,0.0,908.0,509.0,41.0, Los Angeles International,"Los Angeles, CA"
17238,2018,11,DL,Delta Air Lines Inc.,ORD,816.0,16.0,16713.0,1706.0,1986.0, Chicago O'Hare International,"Chicago, IL"
17212,2018,11,DL,Delta Air Lines Inc.,LAX,2704.0,1.0,24486.0,11846.0,1166.0, Los Angeles International,"Los Angeles, CA"
17175,2018,11,DL,Delta Air Lines Inc.,DFW,580.0,0.0,4770.0,2240.0,160.0, Dallas/Fort Worth International,Dallas
17174,2018,11,DL,Delta Air Lines Inc.,DEN,911.0,1.0,4742.0,1774.0,753.0, Denver International,"Denver, CO"
17141,2018,11,DL,Delta Air Lines Inc.,ATL,19820.0,13.0,204446.0,57420.0,11334.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17106,2018,11,B6,JetBlue Airways,ORD,200.0,6.0,6582.0,1615.0,204.0, Chicago O'Hare International,"Chicago, IL"
