,city,date,weather
13,"Chicago, United States of America",2018-12-14,Fog
14,"Chicago, United States of America",2018-12-15,Partly cloudy
15,"Chicago, United States of America",2018-12-16,Clear
16,"Chicago, United States of America",2018-12-17,Clear
17,"Chicago, United States of America",2018-12-18,Clear
18,"Chicago, United States of America",2018-12-19,Partly cloudy
19,"Chicago, United States of America",2018-12-20,Overcast
20,"Chicago, United States of America",2018-12-21,Overcast
21,"Chicago, United States of America",2018-12-22,Overcast
22,"Chicago, United States of America",2018-12-23,Partly cloudy
23,"Chicago, United States of America",2018-12-24,Partly cloudy
24,"Chicago, United States of America",2018-12-25,Partly cloudy
25,"Chicago, United States of America",2018-12-26,Clear
26,"Chicago, United States of America",2018-12-27,Cloudy
27,"Chicago, United States of America",2018-12-28,Cloudy
28,"Chicago, United States of America",2018-12-29,Overcast
29,"Chicago, United States of America",2018-12-30,Overcast
30,"Chicago, United States of America",2018-12-31,Cloudy
